device,2102-NS32-0704-AA5O
plate,
wellmapId,1001
sennum,1001
measurement,Atmospheric Pressure
0.00944,99.453
0.02611,99.455
0.04278,99.46
0.05944,99.462
0.07611,99.465
0.09278,99.463
0.10944,99.459
0.12611,99.457
0.14278,99.458
0.15944,99.458
0.17611,99.455
0.19278,99.455
0.20944,99.456
0.22611,99.455
0.24278,99.453
0.25944,99.455
0.27611,99.458
0.29278,99.457
0.30944,99.457
0.32611,99.46
0.34278,99.461
0.35944,99.461
0.37611,99.464
0.39278,99.46
0.40944,99.463
0.42611,99.464
0.44278,99.464
0.45944,99.464
0.47611,99.466
0.49278,99.466
0.50944,99.467
0.52611,99.466
0.54278,99.465
0.55944,99.464
0.57611,99.465
0.59278,99.466
0.60944,99.467
0.62611,99.466
0.64278,99.466
0.65944,99.467
0.67611,99.469
0.69278,99.469
0.70944,99.469
0.72611,99.469
0.74278,99.467
0.75944,99.463
0.77611,99.46
0.79278,99.458
0.80944,99.453
0.82611,99.451
0.84278,99.45
0.85944,99.45
0.87611,99.449
0.89278,99.451
0.90944,99.45
0.92611,99.451
0.94278,99.45
0.95944,99.451
0.97611,99.451
0.99278,99.452
1.00944,99.452
1.02611,99.452
1.04278,99.453
1.05944,99.452
1.07611,99.453
1.09278,99.453
1.10944,99.452
1.12611,99.451
1.14278,99.451
1.15944,99.451
1.17611,99.45
1.19278,99.45
1.20944,99.448
1.22611,99.448
1.24278,99.449
1.25944,99.45
1.27611,99.45
1.29278,99.45
1.30944,99.451
1.32611,99.453
1.34278,99.453
1.35944,99.456
1.37611,99.456
1.39278,99.455
1.40944,99.455
1.42611,99.453
1.44278,99.452
1.45944,99.452
1.47611,99.451
1.49278,99.45
1.50944,99.448
1.52611,99.446
1.54278,99.444
1.55944,99.446
1.57611,99.446
1.59278,99.449
1.60944,99.451
1.62611,99.453
1.64278,99.457
1.65944,99.456
1.67611,99.455
1.69278,99.453
1.70944,99.45
1.72611,99.449
1.74278,99.447
1.75944,99.447
