device,2102-NS32-0704-AA5O
plate,
wellmapId,1002
sennum,1002
measurement,Relative Humidity
0.00944,91.75
0.02611,92.22857142857143
0.04278,92.62857142857142
0.05944,92.97142857142856
0.07611,93.3
0.09278,93.5
0.10944,93.675
0.12611,93.85
0.14278,93.98333333333333
0.15944,94.125
0.17611,94.26666666666667
0.19278,94.33333333333333
0.20944,94.375
0.22611,94.44000000000001
0.24278,94.54545454545455
0.25944,94.63333333333333
0.27611,94.66
0.29278,94.8
0.30944,94.8
0.32611,94.85
0.34278,94.86666666666667
0.35944,94.95
0.37611,95
0.39278,95
0.40944,95.06666666666666
0.42611,95.16
0.44278,95.2
0.45944,95.2
0.47611,95.23333333333333
0.49278,95.3
0.50944,95.35
0.52611,95.4
0.54278,95.45
0.55944,95.5
0.57611,95.5
0.59278,95.5
0.60944,95.56666666666666
0.62611,95.65
0.64278,95.7
0.65944,95.74
0.67611,95.76666666666667
0.69278,95.81666666666666
0.70944,95.9
0.72611,95.95
0.74278,96
0.75944,96.02307692307691
0.77611,96.1
0.79278,96.15
0.80944,96.2
0.82611,96.26666666666667
0.84278,96.35
0.85944,96.39166666666667
0.87611,96.46000000000001
0.89278,96.5
0.90944,96.56666666666666
0.92611,96.6
0.94278,96.65
0.95944,96.7
0.97611,96.76
0.99278,96.8
1.00944,96.9
1.02611,96.9
1.04278,96.91818181818184
1.05944,97
1.07611,97.1
1.09278,97.1
1.10944,97.15
1.12611,97.25
1.14278,97.3
1.15944,97.4
1.17611,97.4
1.19278,97.45
1.20944,97.5
1.22611,97.55
1.24278,97.55
1.25944,97.6
1.27611,97.65555555555555
1.29278,97.7
1.30944,97.75454545454545
1.32611,97.78888888888889
1.34278,97.85
1.35944,97.9
1.37611,97.96666666666665
1.39278,98.05
1.40944,98.05
1.42611,98.13076923076923
1.44278,98.2
1.45944,98.2
1.47611,98.23846153846154
1.49278,98.3
1.50944,98.35
1.52611,98.4
1.54278,98.45714285714287
1.55944,98.5
1.57611,98.5
1.59278,98.6
1.60944,98.6
1.62611,98.65
1.64278,98.7
1.65944,98.7
1.67611,98.75
1.69278,98.8
1.70944,98.9
1.72611,98.9
1.74278,98.9
1.75944,99
1.77611,99
1.79278,99.05
1.80944,99.1
1.82611,99.15
1.84278,99.2
1.85944,99.2
1.87611,99.3
1.89278,99.3
1.90944,99.35
1.92611,99.4
1.94278,99.4
1.95944,99.46000000000001
1.97611,99.5
1.99278,99.5
2.00944,99.5
2.02611,99.55
2.04278,99.6
2.05944,99.65
2.07611,99.7
2.09278,99.7
2.10944,99.76666666666667
2.12611,99.8
2.14278,99.8
2.15944,99.9
2.17611,99.9
2.19278,99.9
2.20944,100
2.22611,100
2.24278,100
2.25944,100.05
2.27611,100.05
2.29278,100.1
2.30944,100.1
2.32611,100.15
2.34278,100.2
2.35944,100.2
2.37611,100.25
2.39278,100.3
2.40944,100.3
2.42611,100.3
2.44278,100.36666666666667
2.45944,100.4
2.47611,100.4
2.49278,100.4
2.50944,100.4
2.52611,100.4
2.54278,100.46666666666665
2.55944,100.5
2.57611,100.5
2.59278,100.54444444444444
2.60944,100.6
2.62611,100.6
2.64278,100.6
2.65944,100.6
2.67611,100.6
2.69278,100.65
2.70944,100.7
2.72611,100.7
2.74278,100.7
2.75944,100.75
2.77611,100.8
2.79278,100.8
2.80944,100.8
2.82611,100.8
2.84278,100.85714285714286
2.85944,100.9
2.87611,100.9
2.89278,100.9
2.90944,100.96000000000001
2.92611,101
2.94278,101
2.95944,101
2.97611,101
2.99278,101.05
3.00944,101.05
3.02611,101.1
3.04278,101.1
3.05944,101.15
3.07611,101.14999999999999
3.09278,101.2
3.10944,101.2
3.12611,101.2
3.14278,101.2
3.15944,101.25555555555555
3.17611,101.3
3.19278,101.3
3.20944,101.3
3.22611,101.3
3.24278,101.3
3.25944,101.36
3.27611,101.4
3.29278,101.4
3.30944,101.4
3.32611,101.4
3.34278,101.4
3.35944,101.4
3.37611,101.45
3.39278,101.45
3.40944,101.5
3.42611,101.5
3.44278,101.5
3.45944,101.54761904761905
3.47611,101.55999999999999
3.49278,101.6
3.50944,101.6
3.52611,101.6
3.54278,101.6
3.55944,101.6
3.57611,101.6
3.59278,101.6
3.60944,101.6
3.62611,101.6
3.64278,101.65
3.65944,101.7
3.67611,101.7
3.69278,101.7
3.70944,101.7
3.72611,101.7
3.74278,101.7
3.75944,101.7
3.77611,101.75
3.79278,101.75555555555555
3.80944,101.8
3.82611,101.8
3.84278,101.8
3.85944,101.84
3.87611,101.85714285714286
3.89278,101.9
3.90944,101.9
3.92611,101.9
3.94278,101.9
3.95944,101.9
3.97611,101.9
3.99278,101.9
4.00944,101.9
4.02611,101.9
4.04278,101.95263157894738
4.05944,102
4.07611,102
4.09278,102
4.10944,102
4.12611,102
4.14278,102
4.15944,102
4.17611,102.05
4.19278,102.05714285714285
4.20944,102.1
4.22611,102.1
4.24278,102.1
4.25944,102.1
4.27611,102.1
4.29278,102.1
4.30944,102.1
4.32611,102.1
4.34278,102.1
4.35944,102.15454545454546
4.37611,102.2
4.39278,102.2
4.40944,102.2
4.42611,102.2
4.44278,102.2
4.45944,102.2
4.47611,102.2
4.49278,102.2
4.50944,102.2
4.52611,102.25454545454545
4.54278,102.25
4.55944,102.3
4.57611,102.3
4.59278,102.3
4.60944,102.3
4.62611,102.3
4.64278,102.3
4.65944,102.3
4.67611,102.3
4.69278,102.3
4.70944,102.3
4.72611,
4.74278,102.3
4.75944,102.3
4.77611,102.35
4.79278,102.4
4.80944,102.4
4.82611,102.4
4.84278,102.4
4.85944,102.4
4.87611,102.4
4.89278,102.4
4.90944,102.4
4.92611,102.4
4.94278,102.4
4.95944,102.4
4.97611,102.4
4.99278,102.4
5.00944,102.4
5.02611,
5.04278,102.44545454545455
5.05944,102.5
5.07611,102.5
5.09278,102.5
5.10944,102.5
5.12611,102.5
