device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
0.00944,31.6,31.3
0.02611,32,31.714285714285715
0.04278,32.4,32.07142857142857
0.05944,32.7,32.42857142857143
0.07611,33.1,32.75
0.09278,33.4,33.05714285714286
0.10944,33.7,33.375
0.12611,34,33.6
0.14278,34.3,33.9
0.15944,34.5,34.125
0.17611,34.8,34.333333333333336
0.19278,35,34.56666666666667
0.20944,35.2,34.725
0.22611,35.4,34.9
0.24278,35.6,35.11818181818182
0.25944,35.8,35.3
0.27611,36,35.42
0.29278,36.1,35.55
0.30944,36.3,35.75
0.32611,36.4,35.9
0.34278,36.5,35.93333333333333
0.35944,36.6,36.1
0.37611,36.7,36.166666666666664
0.39278,36.9,36.25
0.40944,37,36.31666666666666
0.42611,37.1,36.4
0.44278,37.2,36.45
0.45944,37.2,36.6
0.47611,37.3,36.666666666666664
0.49278,37.4,36.7
0.50944,37.4,36.8
0.52611,37.5,36.8
0.54278,37.5,36.875
0.55944,37.6,36.95
0.57611,37.7,37
0.59278,37.7,37.05
0.60944,37.7,37.1
0.62611,37.8,37.1
0.64278,37.9,37.150000000000006
0.65944,37.9,37.2
0.67611,38,37.2
0.69278,38,37.266666666666666
0.70944,38.1,37.3
0.72611,38.1,37.3
0.74278,38.1,37.3
0.75944,38.2,37.36153846153846
0.77611,38.2,37.4
0.79278,38.2,37.4
0.80944,38.2,37.4
0.82611,38.2,37.4
0.84278,38.2,37.4
0.85944,38.3,37.44166666666667
0.87611,38.3,37.5
0.89278,38.3,37.5
0.90944,38.3,37.5
0.92611,38.3,37.5
0.94278,38.3,37.5
0.95944,38.3,37.5
0.97611,38.3,37.5
0.99278,38.3,37.5
1.00944,38.3,37.5
1.02611,38.4,37.55
1.04278,38.4,37.56363636363636
1.05944,38.4,37.6
1.07611,38.4,37.6
1.09278,38.4,37.6
1.10944,38.4,37.6
1.12611,38.4,37.6
1.14278,38.4,37.6
1.15944,38.4,37.6
1.17611,38.4,37.6
1.19278,38.4,37.6
1.20944,38.5,37.6
1.22611,38.5,37.6
1.24278,38.6,37.6
1.25944,38.6,37.6
1.27611,38.6,37.6
1.29278,38.6,37.6
1.30944,38.7,37.6
1.32611,38.7,37.6
1.34278,38.7,37.6
1.35944,38.7,37.6
1.37611,38.7,37.6
1.39278,38.6,37.6
1.40944,38.6,37.6
