,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
0,0.0,1,,0.0,8,H10,-0.5585952881159311,-0.09223926796761983,6.0,13.0,0.40004119011465844,-0.07770105584490611,0.32978723404255317,45.0,0.006850502948317726,21.0,0.21870097102049324,8.0,0.5555555555555556,-0.8601769911504424,-0.9557522123893806,0.974113298994165,35.0,1.6612214199047672,0.5217391304347826,0.2826086956521739,0.19021361769783204,0.43732612451422537
1,5.0,0,,0.461402149,8,G10,0.060016517257120316,0.43131268656526567,9.0,18.0,0.5566179276310377,-0.04759067167869513,0.3723404255319149,94.0,0.0052035506580961136,84.0,0.36951892206203596,16.0,0.17647058823529413,-0.26017699115044246,-0.3221238938053097,0.9607788119450092,42.0,1.550601886923895,0.34782608695652173,0.43478260869565216,0.09203884727314453,0.4333755768808468
2,5.0,0,,0.195135581,8,F10,0.3640039376912956,-0.02652800075539874,12.0,33.0,0.5262255925595204,-0.03645866397350158,0.2854609929078014,46.0,0.010848126232741619,149.0,0.407407021034218,20.0,0.19047619047619047,-0.19999999999999996,-0.32389380530973455,0.9783175059802638,36.0,1.6867223310784636,0.5869565217391305,0.8260869565217391,0.08590292412160157,0.3367891343004176
3,5.0,0,,0.126083119,8,E10,0.2554602149858576,-0.11777267589160623,15.0,40.0,0.38001017177922214,-0.005677926881550166,0.2127659574468085,51.0,0.01859504132231405,164.0,0.6009436142258483,24.0,0.44,-0.18230088495575225,-0.29380530973451324,0.9858945012624765,34.0,1.8909104767218943,0.6086956521739131,0.8260869565217391,0.07363107781851563,0.2771574155429577
4,5.0,0,,0.016700834,8,D10,-0.6650275217601104,-0.30132685489365874,17.0,41.0,0.42043159466821833,-0.012070279212647327,0.2375886524822695,49.0,0.008073817762399078,152.0,0.5225717770656784,32.0,0.12121212121212122,0.41946902654867246,-0.30265486725663715,0.9801404502263448,37.0,1.8531031094476615,0.717391304347826,0.8260869565217391,0.06749515466697266,0.3238893197607324
5,5.0,0,,0.157329249,8,C10,0.18642524796981186,-0.20191311290939162,13.0,33.0,0.4012384916537707,-0.01892997506111662,0.2624113475177305,42.0,0.0055272108843537416,168.0,0.4186683226733699,19.0,0.2,-0.19469026548672563,-0.2920353982300885,0.9771860351512595,29.0,1.961477421259276,0.5869565217391305,0.8260869565217391,0.08590292412160157,0.3419703679801127
6,5.0,0,,0.220667584,8,B10,0.46915785344860716,0.08456924376522923,14.0,42.0,0.4587017190392815,-0.01631909125198675,0.2712765957446808,52.0,0.028624192059095104,168.0,0.46309374980974094,27.0,0.2413793103448276,-0.21238938053097345,0.11061946902654873,0.9813169078674256,45.0,1.7106900889832704,0.32608695652173914,0.8695652173913043,0.07363107781851563,0.3236811530552567
7,5.0,0,,0.425127631,8,A10,0.4509017908830486,-0.01417502164747897,6.0,28.0,0.3870923307489111,-0.1818547328897033,0.3421985815602837,113.0,0.0042852770125497396,45.0,0.19861601166136167,16.0,0.17647058823529413,0.3787610619469026,-0.37168141592920356,0.8773706901758931,26.0,1.7066841920603653,0.5,0.15217391304347827,0.15339807878857423,0.6308972731644455
8,12.0,0,,0.00165005,8,H9,0.13565814101180051,-0.18811031189821215,31.0,88.0,0.5811781135466647,-0.01442861155763577,0.3102836879432624,84.0,0.013333333333333336,174.0,0.5244457932552133,40.0,0.057692307692307696,-0.1805309734513274,0.13628318584070787,0.9794872017206046,57.0,1.6306444602740215,0.8695652173913043,0.8695652173913043,0.03681553890925782,0.31641210666065334
9,12.0,0,,0.000913176,8,G9,-0.4021218326834912,-0.07755479760006478,20.0,45.0,0.5043258104352126,-0.006456860594683419,0.25886524822695034,59.0,0.011534025374855827,164.0,0.8862112036660347,30.0,0.15625,-0.18584070796460173,0.25132743362831866,0.9915832969471863,43.0,1.5838380187457521,0.6739130434782609,0.8695652173913043,0.05522330836388672,0.24199391096173395
