Seeding Density,ctrl,35k,35k,35k,35k,35k,35k,35k,30k,30k,30k,30k,30k,30k,30k,30k,25k,25k,25k,25k,25k,25k,25k,25k,20k,20k,20k,20k,20k,20k,20k,20k
Beating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
Beating occurrence date,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,14,11,none,none,none,none,none,none,14,11
ctnt signal-Scaled from 0 to 1,0,0.444890404,0.150691417,0.165026136,0.091947007,0.125665345,0.123368261,0.012408677,0.298148298,0.255904506,0.33141543,0.083600777,0.062793131,0.055129949,0.054301873,0.115778756,0.336963266,0.325194793,0.187497618,0.130355799,0.066381247,0.087518501,0.811721662,1,0.792903373,0.831719117,0.653519141,0.626468603,0.273574536,0.181618598,0.795398198,0.768711769
ctnt signal- Rounded percent,0,40,20,20,10,10,10,0,30,30,30,10,10,10,10,10,30,30,20,10,10,10,80,100,80,80,70,60,30,20,80,80
device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O
well,H10-CTRL,A10,C10,G10,F10,E10,B10,D10,H9,G9,A9,F9,E9,D9,C9,B9,G4,D4,F4,E4,C4,B4,H4,A4,G3,F3,D3,E3,B3,C3,A3,H3
measurement,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c
2022-02-10 18:30:00+00:00,151.0575,131.3,91.40625,105.587,97.24325,90.44075,99.37475,78.36,121.0565,102.8475,102.1846667,99.043,90.28925,83.7315,88.59725,104.82875,106.9683333,97.96366667,97.291,91.83366667,92.44333333,110.941,116.8723333,121.8195,113.00275,107.5175,108.57525,109.61125,112.29825,105.7855,133.98675,121.304
2022-02-10 18:45:00+00:00,174.1680357,149.65575,104.0117857,117.3943571,110.8987143,107.6342143,107.7711429,87.17114286,136.1783929,108.7526071,110.3021034,107.3599643,98.35503571,90.20542857,90.37857143,109.7187143,116.263069,98.90937931,105.7438621,98.00672414,97.63158621,111.0714138,138.6831034,140.045931,128.3345862,121.5898621,116.8356071,120.7358571,118.7341429,114.7633571,150.1637143,140.3845172
2022-02-10 19:00:00+00:00,184.3811579,161.5406316,132.8613684,141.0821053,137.6316316,136.5181053,136.7214211,120.4746842,155.1187368,135.0164211,133.1081579,135.9494211,128.6987895,122.927,122.9536842,137.3272105,143.329,127.7137778,134.1771053,127.8433158,128.9954444,137.7934444,158.6418421,159.4850556,151.4920588,146.2979412,139.7898333,142.4577778,138.976,138.2855,158.7180556,158.9225
2022-02-10 19:15:00+00:00,203.4133103,196.2808214,193.8876552,189.8777586,191.7074483,193.391,197.2834286,191.3385517,196.0655,193.9666429,199.3372857,196.4603571,193.1935714,190.6628214,194.7577143,194.8858214,195.8849643,185.5543214,192.8519643,188.5551786,192.1493929,194.5307143,196.0172143,205.6824286,200.8742414,199.356,195.4660345,194.4225172,189.3648966,194.5323103,197.4505172,197.9795
2022-02-10 19:30:00+00:00,202.2115357,189.877931,184.1544286,182.6324286,183.4260357,182.0136786,187.7734828,179.3166071,189.2835517,184.1785517,190.4063103,187.1332414,182.7918966,180.3772414,182.3701379,187.3012414,187.4376897,180.1659643,185.9248621,181.7748929,185.8313929,188.6886786,191.126,202.2520714,197.9385,195.4411071,191.2765,191.7243214,185.9470357,190.175,190.5187857,191.9886786
2022-02-10 19:45:00+00:00,197.8123929,173.4443929,175.5462143,173.9793571,174.1371071,165.0322143,178.17,173.0918571,173.1139286,176.0441429,177.283,166.6505714,160.9263571,155.4857143,156.6017143,168.8251071,175.1432857,164.123,167.5025,161.2622414,164.3592759,168.8129655,178.17625,184.2824828,182.3937241,180.2312069,173.5270345,176.3836897,168.558,172.8396897,174.7371429,179.1503103
2022-02-10 20:00:00+00:00,195.615069,171.9732069,173.0578966,165.5286207,164.2313793,162.6202759,174.592069,166.6513793,169.4386552,170.9513103,169.3766071,159.8578276,155.9313103,158.8893929,148.3691429,164.1234286,174.5226786,172.2653571,167.1333571,164.0465357,158.2159643,161.4746429,173.7081429,183.9172143,175.955,181.3440357,167.4230357,170.0788571,162.3072143,165.8612857,172.3185862,173.4791786
2022-02-10 20:15:00+00:00,194.04225,157.8332143,159.3926429,159.7929643,159.2730357,147.85075,163.7895714,151.5752857,157.3310357,167.2571786,159.5072414,151.3263571,153.74375,153.4930345,151.7891034,164.8851379,167.0773448,162.9585517,166.9963793,155.091,146.4207931,147.7965172,166.9788966,177.2086552,176.6067857,176.4371071,164.5426071,161.0436786,150.9351429,154.5818929,162.5622143,168.6920345
2022-02-10 20:30:00+00:00,192.8546897,158.3893929,159.2513214,161.3895517,161.2898621,158.2356552,162.5475,152.2131786,155.0160714,166.3033571,160.3747143,150.4473214,155.9055357,157.7244286,160.6805357,169.4200714,165.0882143,162.1822857,159.17,152.00625,147.0163571,148.2889286,168.7297143,174.1453929,176.6611724,179.3988966,173.6845517,165.8666552,155.3368621,155.2510345,158.579931,171.5811786
2022-02-10 20:45:00+00:00,192.1052857,163.1783793,161.876069,160.3840357,160.14375,160.1244286,157.0897931,149.4581034,153.0874138,164.5605862,157.1968276,158.5618276,145.3623793,153.1348966,151.0827241,165.772931,157.7859643,159.6048929,154.6852857,149.3864643,139.3848929,136.1999286,164.089,165.5858571,175.5082143,176.1468929,165.9682857,161.9306786,147.7593929,148.0500714,151.5818929,171.3572857
2022-02-10 21:00:00+00:00,191.6453571,166.3887857,161.9113929,158.79525,160.60725,156.7280357,162.0059643,149.3649643,153.9901071,164.5262143,162.4557857,156.9203214,152.7165357,154.7976071,148.4711429,168.2905714,159.0194138,163.4441034,156.6095172,159.8593448,153.1806552,136.3941724,166.0676071,167.5852069,175.5218276,178.4047241,170.188931,164.0466207,154.16025,154.5683103,153.1062857,173.1338621
2022-02-10 21:15:00+00:00,191.2347931,164.0895172,159.2987241,155.7373448,157.9264138,155.8924138,160.6380345,145.0337931,149.2613793,162.6257931,159.1374643,151.4656786,155.1615,149.6903929,144.7111429,166.0189643,156.19675,158.2431429,152.6221786,159.1749286,151.7861429,125.2330714,161.7046429,164.8673929,173.1701429,176.1165714,165.0796786,158.6886786,151.9833103,156.17275,147.6571379,170.5458929
2022-02-10 21:30:00+00:00,190.8548571,165.0640714,159.3580714,154.6997857,157.4394286,156.3246786,161.2515714,145.6505,159.0758214,162.58525,162.5994138,157.1587241,157.2414138,151.388931,149.3910345,167.9273448,160.5022069,161.9482759,152.1573448,160.7847586,159.2697931,132.1333448,167.7507586,172.6375714,172.3301071,177.3870357,169.4789286,163.8284643,147.8833929,157.4359286,147.7005357,170.8769643
2022-02-10 21:45:00+00:00,190.6928621,161.4328571,156.9060357,153.1405517,155.1086552,154.2188966,157.5278929,141.6192143,161.7828929,161.0653929,157.5875357,154.07225,152.4348571,146.4983214,145.1841071,165.3879643,157.2215357,156.7416071,147.7183214,156.843,149.2000714,127.596,166.0651429,169.2933448,170.5106207,174.1894828,164.3322759,159.9835517,142.0394483,153.9898621,141.5561724,168.8184138
2022-02-10 22:00:00+00:00,190.5375357,161.7761034,156.9245172,152.8803571,154.2956429,154.9738929,158.9781379,141.6441379,165.9581724,161.0686207,161.1095172,155.3261724,154.2256552,148.9711034,147.872069,167.6216552,159.2198214,160.6373214,150.6124643,159.6136786,154.2711786,133.3943214,168.1043214,172.4786786,171.17275,175.7715,166.85575,162.6127857,151.3178571,159.7423929,141.7880714,169.7572857
2022-02-10 22:15:00+00:00,190.4798571,157.1936429,154.2613571,151.1677143,151.9922857,153.2574643,155.3587143,137.3150714,163.97375,158.89725,155.9915357,152.7683571,148.2903214,144.5682143,143.2386786,163.7043571,155.3053103,155.264931,147.0173103,155.4708276,146.9845862,135.8870345,167.2884483,167.773069,167.5024138,172.5467931,162.3798276,161.2902414,145.2707143,153.9281429,136.0085357,167.455
