,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
0,14,0,25,,10,H10,-0.1312192631988527,0.44143985391445106,4.0,9.0,0.19424115160165278,-0.017457776410598407,0.4028520499108734,30.0,0.017304505337803987,44.0,0.2164740749732735,5.0,0.5,0.2615658362989324,0.33985765124555156,0.9194537946928909,23.0,1.5228830755314866,0.2826086956521739,0.1956521739130435,0.29452431127406253,0.6795882377204097
1,13,0,25,,10,G10,-0.23386540768659692,0.08595598676634286,14.0,38.0,0.6730485396507181,-0.00294061858426329,0.39037433155080214,108.0,0.0034516765285996062,71.0,0.8931678812053043,20.0,0.19047619047619047,-0.7900355871886121,-0.9412811387900356,0.9786168742448564,50.0,1.36751548119718,0.6521739130434783,0.45652173913043476,0.0797670009700586,0.25669292301374036
2,12,0,25,,10,F10,0.5792720328229506,0.2939785841857858,18.0,59.0,0.8104676009333116,-0.0016336662881902394,0.38146167557932265,136.0,0.011851851851851851,185.0,1.4952206880418806,35.0,0.1891891891891892,0.2704626334519573,0.3416370106761566,0.9959860582956386,64.0,1.2972003755311543,0.17391304347826086,0.5869565217391305,0.05522330836388672,0.22437362341670475
3,11,0,25,,10,E10,-0.5966478165477149,-0.2683775308912899,14.0,38.0,0.675044509408151,-0.024765693574083775,0.45811051693404636,66.0,0.010666666666666668,122.0,0.4008163886829502,20.0,0.13636363636363635,0.39679715302491103,-0.104982206405694,0.9576410871534279,50.0,1.3854715090674623,0.6521739130434783,0.5,0.0797670009700586,0.37562760349680535
4,10,0,25,,10,D10,0.09266850195238341,-0.5245958005153857,30.0,90.0,1.1960557284291349,-0.0001907673432103458,0.26737967914438504,110.0,0.006944444444444444,0.0,3.5922018801906908,40.0,0.4666666666666667,0.0587188612099645,-0.18149466192170816,0.9979810599115903,118.0,1.249493830686247,0.43478260869565216,0.6739130434782609,0.03681553890925782,0.10241984082533942
5,9,0,25,,10,C10,-0.14005038121784064,0.1447448878728066,15.0,45.0,0.804720803940086,-0.004431102760858724,0.47593582887700536,146.0,0.004132231404958677,95.0,0.8462438499379612,24.0,0.2,-0.7669039145907472,-0.3016014234875445,0.9948079688620081,44.0,1.3264514969309436,0.6739130434782609,0.5217391304347826,0.06749515466697266,0.3241429423408853
6,8,0,25,,10,B10,0.8265356980810568,0.5383117439573382,15.0,42.0,0.8175861566971624,-0.01007161153726278,0.42424242424242425,103.0,0.01652892561983471,100.0,0.8109867719877937,24.0,0.16,0.5213523131672597,-0.25978647686832745,0.9849541474369569,48.0,1.3768617283885014,0.6086956521739131,0.43478260869565216,0.06749515466697266,0.28087824706862774
7,7,0,25,,10,A10,-0.13993855779284847,-0.4103174226304167,21.0,56.0,0.8900524291185921,-0.001792775729848799,0.33689839572192515,96.0,0.006510416666666666,133.0,1.6301877873572461,33.0,0.3142857142857143,-0.7686832740213523,0.3701067615658362,0.9958795541622033,94.0,1.2730277401217769,0.6086956521739131,0.43478260869565216,0.04908738521234375,0.16147528735062988
8,14,0,25,,10,H9,-0.23444565408418494,0.010929866604002747,25.0,91.0,0.8719957269261789,-0.0045588911841445865,0.32798573975044565,97.0,0.02546296296296296,185.0,0.7687246411743797,40.0,0.08888888888888889,-0.7259786476868327,-0.402135231316726,0.9871623411889164,100.0,1.359542192945208,0.6739130434782609,0.8260869565217391,0.03681553890925782,0.24652121189049853
9,13,0,25,,10,G9,-0.12173504448805339,0.22053818322156138,16.0,46.0,0.7043305102757572,-0.024346436881708646,0.33868092691622104,150.0,0.008230452674897118,0.0,0.5065135390281014,28.0,0.16666666666666666,-0.17437722419928825,0.3416370106761566,0.9876197552225067,32.0,1.3807307826297759,0.717391304347826,0.5,0.06749515466697266,0.30721908349355215
