Seed Density (k),ctrl,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Dose,ctrl,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM
Beating occurrence date,ctrl,12,12,12,12,12,12,10,10,10,10,10,10,10,none,none,12,12,10,10,10,10,none,none,none,none,none,none,none,none,none,none
Beating,ctrl,2,2,1,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O
well,A4,G4,E4,F4,D4,C4,B4,F10,E10,H10,G10,D10,C10,B10,H4,A10,C9,B9,H3,G9,F9,E9,H9,G3,F3,E3,D9,D3,C3,B3,A9,A3
measurement,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux
2022-01-17 19:15:00+00:00,-8.534005345,-9.167605282,-19.34917035,-15.32404026,-10.37612803,-15.01076048,-8.606760172,-15.77497959,-13.86078667,-11.69113135,-14.85360635,-16.98193723,-16.92752633,-9.146823626,-10.17099584,-3.156367824,-12.32547934,-16.8053238,-6.598996984,-13.23690687,-18.40581786,-14.18212872,-5.930360861,-13.92788449,-8.846270739,-9.999020815,-16.92590272,-15.89186972,-14.0728318,-14.69076648,-8.965524221,-9.904730917
2022-01-17 19:30:00+00:00,-1.437481394,-1.359697989,-5.06862574,-2.190411244,-0.521410864,-1.778192443,1.72036276,-4.181562418,-2.210488301,-1.065090713,-2.283094869,-4.000351942,-4.370828363,1.872349023,0.730239913,5.542385498,-1.491438763,-3.322478332,3.929252263,-2.841040796,-6.42784809,-3.598537213,1.748290385,-7.58691346,1.78689635,0.024098134,-4.656098242,-3.555651296,-4.183663692,-1.866304735,1.59195399,-0.73876391
2022-01-17 19:45:00+00:00,-1.625906268,-2.912321513,-7.668112011,-4.235521143,-3.438793697,-4.142729588,0.099515504,-7.558288923,-4.313510959,-0.993996561,-4.629372744,-7.404121865,-6.192988639,-0.375218543,-1.062074167,3.392351,-3.234118296,-4.406910901,2.701874319,-3.918987033,-7.036787118,-4.646569213,1.746501364,-6.588678441,1.087705653,-0.983642838,-5.955377053,-2.979892418,-3.523159278,-1.525681073,-1.543865519,-0.296952219
2022-01-17 20:00:00+00:00,-0.675865192,-1.552090705,-3.131399807,-0.866393274,-0.462972133,-1.561353118,3.248745968,-4.089325872,0.205961374,1.606636744,-0.809788099,-2.574673567,-1.395004907,1.574232515,2.158260495,3.718489146,-0.48327921,-0.925955586,4.136281679,0.178667996,-3.334346757,-1.486036359,3.416268402,-3.692642682,4.573805139,1.798489058,-1.720958285,-0.40092629,-1.119489466,0.865387327,-0.337875391,2.17239598
2022-01-17 20:15:00+00:00,-1.241454876,-1.701195771,-2.663662558,-0.045150964,-0.738290999,-1.548545623,1.950975003,-3.531401717,0.254571344,0.45702708,-1.539031132,-3.61367769,-1.598256981,2.649589137,2.382431071,2.125311961,-1.162145055,-1.252200675,3.032869597,0.468303209,-4.07218762,-2.323887632,3.611227005,-2.033401696,4.274834175,1.762846798,-2.023846262,1.000410099,-1.151238767,-0.684662721,-1.72903967,0.501397213
2022-01-17 20:30:00+00:00,0.563123222,0.753413834,0.819865004,3.256382764,2.92983685,2.678220911,4.952805968,2.149684611,4.219311708,2.456587076,4.266142474,-0.141561319,2.973403707,7.934026602,4.979053094,5.080024734,2.59925167,2.987428944,6.073109209,5.237336589,-0.675834663,1.053336239,7.992830698,1.299196088,7.644303155,5.262862435,2.026817957,5.682769127,2.681181522,3.512876257,1.901706102,3.517784536
2022-01-17 20:45:00+00:00,-0.297931525,-2.449231668,-2.184431405,-0.35793431,-1.181671109,-0.80075181,1.63692516,-0.742739506,0.910752679,0.691228029,1.943429088,-4.185192978,-1.602234205,1.860175679,2.061309473,1.90190245,-0.254674055,-0.218709209,4.845298993,0.978156419,-2.756345604,-1.316383231,5.466108403,-1.452088224,5.552080563,3.108546346,0.526385914,1.811494778,-0.788627633,0.196389643,0.222550959,0.661307268
2022-01-17 21:00:00+00:00,-1.303393555,-1.487440844,-0.824292378,0.882969794,-1.165411317,0.20312231,2.919811147,0.283748648,1.663189362,0.724990631,2.234089607,-2.497100036,-2.016832414,1.12502936,2.299411076,1.540810732,0.15032325,-0.897207373,6.095619005,-0.070721334,-1.570410198,-0.58187716,4.044285426,-0.702314819,5.802233177,3.835292148,2.079974194,1.442101002,-0.246201421,-0.396838534,0.467984504,0.114675662
2022-01-17 21:15:00+00:00,-1.008001159,0.669300549,4.150309131,3.416079701,2.997200637,3.510465269,4.668797275,2.344248029,1.677700443,4.154737188,2.260389598,-1.976218471,1.397435732,3.706370539,2.696399484,3.876247968,1.336123003,-0.986531447,7.387713718,0.031453123,-0.367988364,0.780025022,7.45193753,0.233442072,6.702009852,6.219813607,4.913960139,4.922987228,2.878618864,0.600154512,3.163813472,1.807064258
2022-01-17 21:30:00+00:00,-0.980277584,1.277377155,6.27963207,3.188592263,4.727835785,4.988914871,5.541521308,3.317023663,1.754087965,7.783522474,3.488416928,-2.870551224,4.098895045,5.735321996,3.77137962,6.023620608,2.147351049,-0.206176929,9.054845672,2.565821751,-0.410208779,1.10213399,10.80696216,0.995164587,7.765027655,7.452156697,6.311872474,7.375357669,4.555343143,1.858143172,5.36955302,4.731520906
2022-01-17 21:45:00+00:00,-1.220345765,-0.151501234,6.62992402,4.42824782,5.514404124,4.211503905,2.436900561,3.002552421,3.462861193,8.855264423,1.966364724,-3.368056681,6.394757549,8.719821737,4.289964472,4.025346748,0.498228409,0.466900128,7.331479633,2.914328122,-0.695210832,1.846619414,12.65106349,0.314969062,7.265688118,5.778848773,5.15843659,7.026004998,4.526875516,2.327972127,5.687978707,3.249772498
2022-01-17 22:00:00+00:00,-1.359920903,0.835762452,7.076752677,6.023478136,7.568606139,4.923163614,3.37451753,4.389828581,5.765079546,10.29451575,3.588203698,-0.727825888,8.437608929,12.36216414,6.412433,4.905106234,0.687213431,0.986083605,7.771888276,3.394188432,1.065000875,3.662307598,14.06610395,1.318568599,7.497515407,6.51457851,6.124948582,7.840517508,5.279265735,3.57355614,7.141487453,5.054770157
