device,2102-NS32-0704-AA5O
plate,
wellmapId,1001
sennum,1001
measurement,Atmospheric Pressure
0.00111,98.895
0.01778,98.893
0.03444,98.892
0.05111,98.893
0.06778,98.892
0.08444,98.892
0.10111,98.89
0.11778,98.891
0.13444,98.893
0.15111,98.895
0.16778,98.897
0.18444,98.9
0.20111,98.901
0.21778,98.901
0.23444,98.903
0.25111,98.903
0.26778,98.905
0.28444,98.906
0.30111,98.908
0.31778,98.909
0.33444,98.907
0.35111,98.909
0.36778,98.911
0.38444,98.911
0.40111,98.91
0.41778,98.909
0.43444,98.908
0.45111,98.907
0.46778,98.906
0.48444,98.907
0.50111,98.908
0.51778,98.909
0.53444,98.911
0.55111,98.913
0.56778,98.914
0.58444,98.916
0.60111,98.918
0.61778,98.92
0.63444,98.918
0.65111,98.919
0.66778,98.921
0.68444,98.922
0.70111,98.924
0.71778,98.926
0.73444,98.927
0.75111,98.927
0.76778,98.928
0.78444,98.927
0.80111,98.928
0.81778,98.928
0.83444,98.927
0.85111,98.929
0.86778,98.932
0.88444,98.936
0.90111,98.939
0.91778,98.94
0.93444,98.943
0.95111,98.944
0.96778,98.945
0.98444,98.948
1.00111,98.948
1.01778,98.949
1.03444,98.949
1.05111,98.949
1.06778,98.947
1.08444,98.949
1.10111,98.948
1.11778,98.949
1.13444,98.95
1.15111,98.951
1.16778,98.952
1.18444,98.952
1.20111,98.95
1.21778,98.951
1.23444,98.952
1.25111,98.952
1.26778,98.9545
1.28444,98.957
1.30111,98.96
1.31778,98.963
1.33444,98.964
1.35111,98.966
1.36778,98.966
1.38444,98.965
1.40111,98.968
1.41778,98.967
1.43444,98.97
1.45111,98.971
1.46778,98.974
1.48444,98.975
1.50111,98.977
1.51778,98.977
1.53444,98.978
1.55111,98.977
1.56778,98.977
1.58444,98.974
1.60111,98.972
1.61778,98.972
1.63444,98.971
1.65111,98.971
1.66778,98.972
1.68444,98.97
1.70111,98.973
1.71778,98.973
1.73444,98.974
1.75111,98.976
