device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
0.00111,38.3,37.6
0.01778,38.3,37.6
0.03444,38.3,37.6
0.05111,38.3,37.6
0.06778,38.3,37.6
0.08444,38.3,37.6
0.10111,38.4,37.6
0.11778,38.4,37.6
0.13444,38.4,37.6
0.15111,38.4,37.6
0.16778,38.4,37.6
0.18444,38.4,37.6
0.20111,38.4,37.6
0.21778,38.4,37.6
0.23444,38.4,37.6
0.25111,38.4,37.6
0.26778,38.4,37.6
0.28444,38.3,37.6
0.30111,38.3,37.6
0.31778,38.4,37.6
0.33444,38.4,37.6
0.35111,38.4,37.6
0.36778,38.4,37.6
0.38444,38.4,37.6
0.40111,38.4,37.6
0.41778,38.5,37.6
0.43444,38.5,37.6
0.45111,38.5,37.6
0.46778,38.5,37.6
0.48444,38.5,37.6
0.50111,38.5,37.6
0.51778,38.5,37.6
0.53444,38.5,37.6
0.55111,38.4,37.6
0.56778,38.4,37.6
0.58444,38.4,37.6
0.60111,38.4,37.6
0.61778,38.4,37.6
0.63444,38.4,37.6
0.65111,38.4,37.6
0.66778,38.4,37.6
0.68444,38.4,37.6
0.70111,38.4,37.6
0.71778,38.4,37.6
0.73444,38.4,37.6
0.75111,38.4,37.6
0.76778,38.4,37.6
0.78444,38.4,37.6
0.80111,38.4,37.6
0.81778,38.4,37.6
0.83444,38.4,37.6
0.85111,38.4,37.6
0.86778,38.4,37.6
0.88444,38.4,37.6
0.90111,38.4,37.6
0.91778,38.4,37.6
0.93444,38.4,37.6
0.95111,38.4,37.6
0.96778,38.4,37.6
0.98444,38.4,37.6
1.00111,38.4,37.6
1.01778,38.4,37.6
1.03444,38.4,37.6
1.05111,38.4,37.6
1.06778,38.4,37.6
1.08444,38.4,37.6
1.10111,38.4,37.6
1.11778,38.4,37.6
1.13444,38.4,37.6
1.15111,38.4,37.6
1.16778,38.4,37.6
1.18444,38.4,37.6
1.20111,38.4,37.6
1.21778,38.4,37.6
1.23444,38.4,37.6
1.25111,38.4,37.6
1.26778,38.4,37.6
1.28444,38.4,37.6
1.30111,38.4,37.6
1.31778,38.4,37.6
1.33444,38.4,37.6
1.35111,38.4,37.6
1.36778,38.4,37.6
1.38444,38.4,37.6
1.40111,38.4,37.6
1.41778,38.4,37.6
1.43444,38.4,37.6
1.45111,38.4,37.6
